MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
New Girl,(2011–2018),"
Comedy            ",7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","
            
    Stars:
Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
","2,00,421",22,
Prison Break,(2005–2017),"
Action, Crime, Drama            ",8.3,"
Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","
            
    Stars:
Dominic Purcell, 
Wentworth Miller, 
Amaury Nolasco, 
Robert Knepper
","4,92,438",44,
Sex Education,(2019– ),"
Comedy, Drama            ",8.3,"
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.","
            
    Stars:
Asa Butterfield, 
Gillian Anderson, 
Ncuti Gatwa, 
Emma Mackey
","1,77,274",45,
A Classic Horror Story,-2021,"
Drama, Horror, Mystery            ",5.7,"
In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","
    Directors:
Roberto De Feo, 
Paolo Strippoli
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
","8,822",95,
Feels Like Ishq,(2021– ),"
Comedy, Drama, Romance            ",6.6,"
Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.","
            
    Stars:
Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",848,32,
Young Royals,(2021– ),"
Drama, Romance            ",8.6,"
Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","
            
    Stars:
Edvin Ryding, 
Omar Rudberg, 
Frida Argento, 
Samuel Astor
","16,954",50,
Shadow and Bone,(2021– ),"
Action, Adventure, Drama            ",7.7,"
Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.","
            
    Stars:
Jessie Mei Li, 
Ben Barnes, 
Archie Renaux, 
Freddy Carter
","60,283",,
The Hitman's Bodyguard,-2017,"
Action, Comedy, Crime            ",6.9,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
","2,05,979",118,$75.47M
Mad Men,(2007–2015),"
Drama            ",8.6,"
A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","
            
    Stars:
Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
","2,16,203",47,
Élite,(2018– ),"
Crime, Drama, Thriller            ",7.5,"
When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","
            
    Stars:
Itzan Escamilla, 
Omar Ayuso, 
Miguel Bernardeau, 
Arón Piper
","59,730",60,
Gilmore Girls,(2000–2007),"
Comedy, Drama            ",8.1,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","
            
    Stars:
Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
","1,06,650",44,
Sky Rojo,(2021– ),"
Action, Adventure, Crime            ",6.5,"
Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.","
            
    Stars:
Verónica Sánchez, 
Miguel Ángel Silvestre, 
Asier Etxeandia, 
Lali Espósito
","6,940",31,
Lupin,(2021– ),"
Action, Crime, Drama            ",7.5,"
Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","
            
    Stars:
Omar Sy, 
Ludivine Sagnier, 
Hervé Pierre, 
Soufiane Guerrab
","84,428",45,
Trollhunters: Rise of the Titans,-2021,"
Animation, Action, Adventure            ",6.9,"
The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.","
    Directors:
Johane Matte, 
Francisco Ruiz-Velasco, 
Andrew L. Schmidt
| 
    Stars:
Steve Alterman, 
Kay Bess, 
Brian Blessed, 
Vic Chao
","2,353",104,
Heartland,(II) (2007– ),"
Drama, Family            ",8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","
            
    Stars:
Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
","11,764",45,
Jurassic Park,-1993,"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
","8,97,444",127,$402.45M
Family Guy,(1999–2022),"
Animation, Comedy            ",8.1,"
In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","
            
    Stars:
Seth MacFarlane, 
Alex Borstein, 
Seth Green, 
Mila Kunis
","3,12,584",22,
Daredevil,(2015–2018),"
Action, Crime, Drama            ",8.6,"
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","
            
    Stars:
Charlie Cox, 
Vincent D'Onofrio, 
Deborah Ann Woll, 
Elden Henson
","3,74,963",54,
Dark,(2017–2020),"
Crime, Drama, Mystery            ",8.8,"
A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","
            
    Stars:
Louis Hofmann, 
Karoline Eichhorn, 
Lisa Vicari, 
Maja Schöne
","3,12,629",60,
Boku no hîrô akademia,(2016– ),"
Animation, Action, Adventure            ",8.4,"
A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.","
            
    Stars:
Daiki Yamashita, 
Nobuhiko Okamoto, 
Ayane Sakura, 
Justin Briner
","44,367",24,
Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",8.6,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","
            
    Stars:
Courtney Henggeler, 
Mary Mouser, 
Tanner Buchanan, 
Ralph Macchio
","1,22,268",30,
 Kingdom,(2019– ),"
Action, Drama, History            ",7.1,"
Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""","
    Director:
Seong-hun Kim
| 
    Stars:
Jun Ji-hyun, 
Si-ah Kim, 
Byeong-eun Park, 
Kyo-hwan Koo
","6,388",92,
Gotham,(2014–2019),"
Action, Crime, Drama            ",7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.","
            
    Stars:
Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova
","2,16,458",42,
Billions,(2016– ),"
Drama            ",8.4,"
U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","
            
    Stars:
Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile
","74,094",60,
Agents of S.H.I.E.L.D.,(2013–2020),"
Action, Adventure, Drama            ",7.5,"
The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","
            
    Stars:
Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker
","2,05,119",45,
Don't Breathe,-2016,"
Crime, Horror, Thriller            ",7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
","2,37,601",88,$89.22M
The Ice Road,-2021,"
Action, Adventure, Drama            ",5.6,"
After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","
    Director:
Jonathan Hensleigh
| 
    Stars:
Liam Neeson, 
Marcus Thomas, 
Laurence Fishburne, 
Amber Midthunder
","20,561",109,
Arrow,(2012–2020),"
Action, Adventure, Crime            ",7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","
            
    Stars:
Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson
","4,14,712",42,
Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",8,"
Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","
            
    Stars:
Taylor Schilling, 
Danielle Brooks, 
Taryn Manning, 
Emma Myles
","2,84,554",59,
Gossip Girl,(2007–2012),"
Drama, Romance            ",7.4,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.","
            
    Stars:
Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick
","1,59,666",42,
Bridgerton,(2020– ),"
Drama, Romance            ",7.3,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","
            
    Stars:
Phoebe Dynevor, 
Regé-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey
","83,944",60,
The Kominsky Method,(2018–2021),"
Comedy, Drama            ",8.2,"
An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","
            
    Stars:
Michael Douglas, 
Sarah Baker, 
Graham Rogers, 
Melissa Tang
","33,440",30,
Homeland,(2011–2020),"
Crime, Drama, Mystery            ",8.3,"
A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.","
            
    Stars:
Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend
","3,22,307",55,
Riverdale,(2017– ),"
Crime, Drama, Mystery            ",6.8,"
While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","
            
    Stars:
K.J. Apa, 
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse
","1,26,112",45,
Sherlock,(2010–2017),"
Crime, Drama, Mystery            ",9.1,"
A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","
            
    Stars:
Benedict Cumberbatch, 
Martin Freeman, 
Una Stubbs, 
Rupert Graves
","8,39,029",88,
La cocinera de Castamar,-2021,"
Drama            ",7.4,"
Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.","
            
    Stars:
Michelle Jenner, 
Roberto Enríquez, 
Hugo Silva, 
Maxi Iglesias
","1,336",,
Queen of the South,(2016–2021),"
Action, Crime, Drama            ",8,"
Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.","
            
    Stars:
Alice Braga, 
Hemky Madera, 
Peter Gadiot, 
Veronica Falcón
","23,318",42,
CSI: Crime Scene Investigation,(2000–2015),"
Crime, Drama, Mystery            ",7.6,"
Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.","
            
    Stars:
Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
","78,589",60,
The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",8,"
A family of former child heroes, now grown apart, must reunite to continue to protect the world.","
            
    Stars:
Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman
","1,75,513",60,
Supergirl,(2015–2021),"
Action, Adventure, Drama            ",6.2,"
The adventures of Superman's cousin in her own superhero career.","
            
    Stars:
Melissa Benoist, 
Chyler Leigh, 
David Harewood, 
Mehcad Brooks
","1,15,373",43,
BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",8.7,"
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","
            
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Aaron Paul
","1,24,318",25,
The Lord of the Rings: The Fellowship of the Ring,-2001,"
Action, Adventure, Drama            ",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","17,13,028",178,$315.54M
I Think You Should Leave with Tim Robinson,(2019– ),"
Comedy            ",7.8,"
In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","
            
    Stars:
Tim Robinson, 
Sam Richardson, 
Patti Harrison, 
Conner O'Malley
","8,095",16,
South Park,(1997– ),"
Animation, Comedy            ",8.7,"
Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","
            
    Stars:
Trey Parker, 
Matt Stone, 
Isaac Hayes, 
Mona Marshall
","3,40,148",22,
Once Upon a Time,(2011–2018),"
Adventure, Fantasy, Romance            ",7.7,"
A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.","
            
    Stars:
Ginnifer Goodwin, 
Jennifer Morrison, 
Lana Parrilla, 
Robert Carlyle
","2,12,616",60,
Star Trek: Discovery,(2017– ),"
Action, Adventure, Drama            ",7.2,"
Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","
            
    Stars:
Sonequa Martin-Green, 
Doug Jones, 
Anthony Rapp, 
Mary Wiseman
","1,01,079",60,
Teen Wolf,(2011–2017),"
Action, Drama, Fantasy            ",7.6,"
An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.","
            
    Stars:
Tyler Posey, 
Holland Roden, 
Dylan O'Brien, 
Linden Ashby
","1,32,950",41,
How to Get Away with Murder,(2014–2020),"
Crime, Drama, Mystery            ",8.1,"
A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.","
            
    Stars:
Viola Davis, 
Billy Brown, 
Jack Falahee, 
Aja Naomi King
","1,36,135",43,
Star Trek: Deep Space Nine,(1993–1999),"
Action, Adventure, Drama            ",8,"
In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","
            
    Stars:
Avery Brooks, 
Rene Auberjonois, 
Cirroc Lofton, 
Alexander Siddig
","55,687",45,
Seinfeld,(1989–1998),"
Comedy            ",8.8,"
The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.","
            
    Stars:
Jerry Seinfeld, 
Julia Louis-Dreyfus, 
Michael Richards, 
Jason Alexander
","2,64,801",22,
Spartacus: Blood and Sand,(2010–2013),"
Action, Adventure, Biography            ",8.5,"
The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","
            
    Stars:
Andy Whitfield, 
Lucy Lawless, 
Manu Bennett, 
Daniel Feuerriegel
","2,28,484",55,
Hawaii Five-0,(2010–2020),"
Action, Crime, Drama            ",7.3,"
Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.","
            
    Stars:
Alex O'Loughlin, 
Scott Caan, 
Taylor Wily, 
Daniel Dae Kim
","68,627",42,
Good Witch,(2015–2021),"
Comedy, Drama, Fantasy            ",7.3,"
""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","
            
    Stars:
Catherine Bell, 
Catherine Disher, 
James Denton, 
Kylee Evans
","8,268",48,
The Sinner,(2017– ),"
Crime, Drama, Mystery            ",7.9,"
Anthology series that examines how and why ordinary people commit brutal crimes.","
            
    Stars:
Bill Pullman, 
Dohn Norwood, 
Adam LeFevre, 
Jessica Biel
","96,901",45,
Arrested Development,(2003–2019),"
Comedy            ",8.7,"
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","
            
    Stars:
Jason Bateman, 
Michael Cera, 
Portia de Rossi, 
Will Arnett
","2,84,373",22,
Escape Room,(I) (2019),"
Action, Adventure, Horror            ",6.4,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.","
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
","99,351",99,$57.01M
You,(2018– ),"
Crime, Drama, Romance            ",7.7,"
A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","
            
    Stars:
Penn Badgley, 
Victoria Pedretti, 
Ambyr Childers, 
Elizabeth Lail
","1,57,666",45,
Mindhunter,(2017–2019),"
Crime, Drama, Thriller            ",8.6,"
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","
            
    Stars:
Jonathan Groff, 
Holt McCallany, 
Anna Torv, 
Hannah Gross
","2,35,694",60,
Jaws,-1975,"
Adventure, Thriller            ",8,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
","5,58,731",124,$260.00M
Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"
In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","
            
    Stars:
Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena
","2,65,845",23,
The Punisher,(2017–2019),"
Action, Crime, Drama            ",8.5,"
After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","
            
    Stars:
Jon Bernthal, 
Amber Rose Revah, 
Ben Barnes, 
Jason R. Moore
","1,94,777",53,
Star Trek: Voyager,(1995–2001),"
Action, Adventure, Sci-Fi            ",7.8,"
Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","
            
    Stars:
Kate Mulgrew, 
Robert Beltran, 
Roxann Dawson, 
Robert Duncan McNeill
","61,917",44,
The Departed,-2006,"
Crime, Drama, Thriller            ",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","12,27,522",151,$132.38M
Narcos,(2015–2017),"
Biography, Crime, Drama            ",8.8,"
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","
            
    Stars:
Pedro Pascal, 
Lizbeth Eden, 
Wagner Moura, 
Boyd Holbrook
","3,75,261",49,
The Serpent,-2021,"
Crime, Drama, Thriller            ",7.6,"
The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","
            
    Stars:
Tahar Rahim, 
Billy Howle, 
Jenna Coleman, 
Ellie Bamber
","33,936",58,
Star Wars: The Clone Wars,(2008–2020),"
Animation, Action, Adventure            ",8.3,"
Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.","
            
    Stars:
Tom Kane, 
Dee Bradley Baker, 
Matt Lanter, 
James Arnold Taylor
","71,904",23,
"Murder, She Wrote",(1984–1996),"
Crime, Drama, Mystery            ",7,"
Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","
            
    Stars:
Angela Lansbury, 
William Windom, 
Ron Masak, 
Louis Herthum
","20,330",50,
Fatherhood,-2021,"
Comedy, Drama            ",6.7,"
A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.","
    Director:
Paul Weitz
| 
    Stars:
Kevin Hart, 
Alfre Woodard, 
Lil Rel Howery, 
DeWanda Wise
","26,508",109,
Blue Bloods,(2010– ),"
Crime, Drama, Mystery            ",7.6,"
Revolves around a family of New York cops.","
            
    Stars:
Donnie Wahlberg, 
Bridget Moynahan, 
Will Estes, 
Len Cariou
","34,064",43,
Heist,(2021– ),"
Documentary, Crime, Mystery            ",6.8,"
Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.","
            
    Stars:
William Guirola, 
Megan Barlow, 
Scott Bender, 
Jonny Carlson
",846,41,
The Woman in the Window,-2021,"
Crime, Drama, Mystery            ",5.7,"
An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","
    Director:
Joe Wright
| 
    Stars:
Amy Adams, 
Gary Oldman, 
Anthony Mackie, 
Fred Hechinger
","57,048",100,
